,Country,City,AccentCity,Region,Population,Latitude,Longitude
106842,am,saratak,Saratak,7.0,1115.0,40.67,43.8663889
106854,am,sarigyukh,Sarigyukh,9.0,1096.0,41.056388899999995,45.1458333
106866,am,sarukhan,Sarukhan,4.0,6173.0,40.2891667,45.1341667
106868,am,sasunik,Sasunik,1.0,1959.0,40.2472222,44.338055600000004
106879,am,sevan,Sevan,4.0,17083.0,40.555,44.9536111
106890,am,shaghat,Shaghat,8.0,1011.0,39.5616667,45.9122222
106900,am,shahumyan,Shahumyan,2.0,3905.0,39.930833299999996,44.5783333
106902,am,shahumyan,Shahumyan,6.0,1843.0,40.7883333,44.5316667
106917,am,shatin,Shatin,10.0,1671.0,39.8333333,45.3016667
106930,am,shenavan,Shenavan,1.0,1587.0,40.4861111,44.3825
106931,am,shenavan,Shenavan,3.0,1757.0,40.05,43.9333333
106948,am,shinuhayr,Shinuhayr,8.0,2206.0,39.4341667,46.3155556
106951,am,shirakamut,Shirakamut,6.0,2008.0,40.860555600000005,44.1527778
106953,am,shirak,Shirak,7.0,1007.0,40.8480556,43.9213889
